 	Pyrms37	Pyrms47	Pyrms63	Pyrms77B	Pyrms83B	Pyrms233	Pyrms319	Pyrms427	Pyrms607	Pyrms657
CD0269	197	163	151	194	103	250	284	211	284	168
CD0274	197	999	151	194	103	250	284	211	284	168
CD0276	197	163	151	194	103	250	284	211	284	168
CD0277	197	163	151	194	103	250	284	211	284	168
CD0278	197	163	151	194	103	250	284	211	284	168
CD0280	197	163	151	194	103	250	284	211	284	168
CD0281	197	163	151	194	103	250	284	211	284	168
CD0282	197	163	151	194	103	250	284	211	284	168
CD0283	197	163	151	194	103	250	284	211	284	168
CD0284	197	163	151	194	103	250	284	211	284	168
CD0285	197	163	151	194	103	250	284	211	284	168
CD0286	197	167	151	194	115	253	284	213	284	168
CD0287	197	163	151	194	103	250	284	211	284	168
CD0288	197	163	151	194	103	250	284	211	284	168
CD0289	203	157	151	999	109	241	284	201	272	170
CD0290	203	157	151	999	109	241	284	201	272	170
CD0291	197	163	151	194	103	250	284	211	284	168
CD0292	197	163	151	194	103	250	284	211	284	168
CD0293	197	163	151	194	103	250	284	211	284	168
CD0294	197	163	151	194	103	250	284	211	284	168
CD0295	197	163	151	194	103	250	284	211	284	168
CM0028	197	163	151	194	112	250	284	211	284	168
GH0004	197	165	151	194	112	253	284	213	284	168
GH0006	197	165	151	194	112	253	284	215	284	168
GH0007	197	167	151	194	112	253	284	213	284	168
GH0008	197	167	151	194	112	253	284	213	284	168
KN0011	197	175	149	196	112	265	287	217	290	168
KN0012	199	163	149	198	121	253	287	217	284	166
KN0013	197	163	149	226	112	247	287	211	287	166
KN0014	197	163	149	999	112	247	287	211	287	166
KN0015	197	163	149	226	112	247	287	211	287	999
MD0116	197	163	151	200	115	253	284	211	284	168
MD0153	195	195	153	212	97	264	999	999	272	164
MD0187	201	161	161	214	106	253	284	999	281	164
MD0188	197	163	151	194	115	253	284	209	284	168
MD0191	197	163	151	194	115	253	999	211	284	168
MD0194	197	999	151	194	115	253	284	999	284	168
MD0195	197	163	151	200	115	253	284	211	284	168
MD0197	197	163	151	202	115	253	284	211	284	168
MD0200	197	163	151	194	115	253	999	211	999	168
MD0202	197	163	155	194	115	253	284	211	284	168
MD0204	197	163	151	194	118	253	284	211	284	168
MD0207	197	999	149	194	112	267	287	213	284	166
MD0208	197	999	153	194	112	267	287	213	281	166
MD0212	197	999	151	210	115	253	284	999	284	168
MD0214	197	999	151	194	115	999	284	211	284	168
MD0217	197	999	151	194	112	253	284	211	284	168
MD0219	197	999	151	194	112	253	284	213	284	168
MD0223	197	163	151	194	115	253	287	211	287	168
MD0254	197	163	151	194	115	253	284	211	284	168
MD0256	197	163	151	194	115	253	284	211	284	168
MD0260	197	163	151	194	115	253	284	211	284	168
MD0291	197	163	151	200	115	253	284	211	284	168
